tokens,labels
live fam bam cough :( ,0
wub cerbchan :d ,1
headache :( ,0
:) here's quick rundown mary ,1
hi would like concert let know city country i'll start work thanks :) ,1
look promise evening cricket :( ,0
good flight :) ,1
:( hubby delight return home lol ,0
:( ,0
#discrimination :-( maternity discrimination need bos kick teeth ... #uniteblue #tcot ,0
love :) 13 photo explain ukraine russia ,1
:( ,0
hay waiting game ... waiting vava :( i'm hungry na ,0
20 ghanton se light nahi :) ,1
inside closed container im scar :( can't even touch :( look hairy hahaha ,0
ah im sorry :-( ,0
thanks dave lovely day thanks lovely family friend miss congratulations :-) ,1
ain't bad :) ,1
cat lap go :( ,0
ah keep goin sweety :-) :-) big hug x ,1
computer #sex count :) #funny #vintage ,1
two dog one cat good friend :-) #goodwynsgoodies #freebiefriday ,1
want cri one go w :( ,0
can't sleeeeep :-( ,0
doubt i'm go bed soon though :( wake like 9 ,0
free :) ,1
think stop get angry stupid shit :( ,0
earth 2.0 ... yuppiieee :) #alienthought #happyalien ,1
taxi driver think sophie work nintendo take us gate :( security guard give us dirty look haha ,0
really sorry receive wrong order :( would like sort straight away email help.co.uk ,0
think true stop playing feeling guy :( #zayniscomingbackonjuly26 ,0
mean go tweet anything whole week :-( ,0
sleep tight world :) say prayer ,1
thats lord :) ,1
miss baby :) #onemochaonelove ,1
want cebu lechon :( ,0
jdjdjdjd detailed stop :( ,0
thank :) im glad part ,1
fback :) ,1
welcome :-) ,1
miss los :( ,0
thanks mention happy friday :) ,1
cant stream :( ,0
hiya tell amazon fire phone still available can't find web site :( ,0
unfair didnt get follow others get spam :-( ,0
fotoset reusful seem like somebody fun today :d ,1
hi wayne we're sorry hear look leave :( what's happen make want go ,0
twitter turn much complicate can't find trend :( ,0
hope hitmarker glitch fix soon :( ,0
follow :) ,1
love get 7 outfit right >:( fun ,0
need something tuesday i've get whole day :d ,1
glad service kinda :) hahahaa ,1
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x5 ,1
blood plague pit :( ,0
first item edit list :) ,1
someone harry potter marathon :( ,0
thank :) weekend try best :) ,1
keep look bag :( ,0
twitter say :( u follow 💕 💕 💕 ,0
fan dog keeno :( ,0
still work :( ,0
stats week arrive 1 new follower unfollowers :) via ,1
give yet receive le ok lng siguro un kesa give yet receive nothing ... :) ,1
cheers :) xx ,1
ugh i've never rt fade moan leeds tweet :) ,1
really good stream thank :) ,1
neither :) excited 🎉 🎉 🎉 xxx ,1
come belgium :( ,0
thanks lesley lovely see fun france :) ,1
follow follow u back :) ,1
feel bad talk ... :( ,0
goning make thos positive day :) adult can't keep act like mom .. ,1
want bandana bottle set huhuh :( ,0
yeah sad life :( ,0
takfaham :( ,0
rip lola :( i'll miss sorry di kita nadalaw last day thank everything .. sa memory sa warm hug sa lahat labyu la ,0
aw :-( depends define success good music success 2 i'd say successful ,0
miss someone :( ,0
try support uk citizen sign :( ,0
hi merlin currently wait roof repair kitchen let water :( ,0
phrase would kind way :( ,0
smooth handover :( ,0
want busy move house get ill ... i'm still ill :( ,0
hardly surprising roses inspire much emotive poetry :) ,1
thanks share wishing wicked weekend :) ,1
love baekhyun love eyesmiles :) ,1
omg :-( ,0
friend hi saw dead thing make think aww thanks guy :d ,1
play blaine darren song :( ,0
... mentality :( ,0
thankyou much :) ,1
think could hug right :( poor thing sent dm interested hope get good soon ,0
like ballad :-( think emphasis vocal lot im happy choose promote one ,0
true stay beautiful :) ,1
hi bam follow bestfriend love lot :) see warsaw <3 love <3 x38 ,1
leg white :-( ,0
work adios friend :( ,0
available demand nathan :) cheers pete let know ... ,1
srsly fuck u unfollower hope ur future child unparents u >:-( ,0
case .. facebook wall :p ,1
thanks sharing dear oshieer :) #realreviews #happycustomers #realoshi #dealsuthaonotebachao ,1
reason would hand back spare tyre boot .. otherwise true star :-) ,1
awesome :) ,1
happyyyyyy birthdaaaaayyyy :-) ,1
happy birthday jlo :d forever jlovers <3 love :) come turkey please :) ,1
fancy kevin clifton strictly come dance much he's married :( whyyyyy ,0
ingat din man godbless :) ,1
thanks contribution kind comment :-) ,1
i'll sleep good tonight :( ,0
finally could stream ugh make home past day broadcast :( ,0
:( hope something hold interest soon ,0
go spend night prague leave tomorrow :( ,0
hey lesley sorry get shall send post tonight :) ,1
funny thing someone say tell life story :( ,0
h_eartshapedbox first leg magictrikband tour go well :d #music #band #rock #magictrik #tour … ,1
one brave enough watch snapchat story :( ,0
seriously unfair ask question ready answer win :( ='( busy ask question ,0
yay happy publication month ask order :) ,1
first week work already get work weekend :( ,0
know kyungsoo's animated movie inside nice 3d animated movie :) ,1
12pm :) ,1
whats wrong nose :( ,0
fatal dangerous term health :) understand everyone outraged xd ,1
positive beautiful light :( #ripsandrabland #justiceforsandrabland #sandrabland ,0
salon bleach hair olaplex damage like :) ,1
that's great hear we'll sure pass thanks staff :) nic ,1
big floofs face muahah >:) ,1
lmaoo mca team gettin hella money dm u wana make fast bandz asap :) ,1
:) :) :) meoooowwww wolf wolf wolf barkkkkkkkiiideee bark ,1
i'll ask first i'll tell reply :) ,1
knee replacement get day :-( ouch ,0
happy birthdaaaaayyyy dinooo :d ,1
hahah dunwan keep also suan le ba haiz see everyone otw rn :( ,0
ready #contestkiduniya :) ,1
thanks :) ,1
followed thanks please followed :( ,0
ha yes make quick tho :d ,1
:) reason dream ... ,1
really one who's annoy youtube get rid music tab love tab :( ,0
oh :( sorry hear issue signal jojo pop full postcode happen ,0
must tired :( ,0
u beautiful man :d yeah sometimes ,1
morning beautiful :) neil today sweetie xxxx ,1
whaaaaaat whyyyyyyy :( ,0
etienne make sad :( ,0
:( hate school u dont understand miss lot blame school ,0
goodnight :) ,1
like eye :d ,1
#freebiefriday finger cross cut food shop co unexpected garage bill week :( ,0
#notanapology please pick :-) ,1
oh noesss :( ,0
yes wasp sting avert bug mean :( ,0
tbh prefer apmas 14 idk man something right year apmas :( ,0
pehly gold phir old ... :d ,1
wanna take adam candy eat :( ,0
lepas dah sembuh ni sibuk balik okay la kin wont think anything else except ur study :) ,1
yahoo pipes end sept 30 news feed end :-( ,0
move forward happy spirit find thing always work \: ,1
thank much kind word i'll sure pass team :) ,1
yes stay touch :) instagram ,1
hope :( 💜 ,0
that's village thing everywhere world different big city unfortunately :( ,0
congrats yay invite :( ,0
i'm play brain dots #braindots ,1
i'm sorry people shit respect personal space :( ,0
:( world awful ,0
listen jazz truck :) ,1
stats day arrive 1 new follower unfollowers :) via ,1
coffees bad either :) ,1
want shoe holiday shipping take 4-5 day arrive today even way :( ,0
thanks follow back :) ,1
prob.nice choker btw :) ,1
woah nice nice :-) ,1
kat office client :( ,0
u look angel one :) #flipkartfashionfriday ,1
half 10 start :d ,1
askip t'existes pas :( ,0
mmmmm work would babe :( x ,0
omg sad birthday sorry didnt send something ystrday ill late cuz dont phone :( ,0
want win today :( ,0
happy friday :) excite plan weekend winter ball falklands ,1
perf :( ,0
yay ok :d ,1
chweina ... xd jotzh :d dude ... go school waste time twitter ,1
fback :) ,1
#followfriday top new follower community week :) ,1
happy birthday ripaaaaa ❤ :) ,1
one last long lol block already must nice tweet hate :) ,1
... :( hate jong dongwoo photocards i've get wh dw sj ,0
kind eyes tears tears hard care :( ily.melanie ,0
patch :( ,0
wow really hate :) ,1
forget earth delight feel bare foot wind long play hair kahlil gibran :) ,1
practice sad lage :( ,0
taxi empty ciara's concert :( ,0
need job learn drive fricken health put back :( ,0
think short story nearly ready submit :-) ,1
nose forehead peel :( ,0
1 point close grand final :( whyyy ,0
know exactly want get paralyze anxiety sadness lol :) ,1
hour beauty sleep ready hour pure organisation offices weekend :-) oh ... ... ,1
haha thank :) 🍰 ,1
car suspemsion cant cope offroading adventure theres harvest machinery leave inapropriate place weave around :( ,0
rted good luck :) ,1
wonderful news best luck x shame i'll miss :( ,0
hah ... :d say sorry ... ,1
talking one person ... two conversations :) ,1
6 day leave :( ,0
late away contest never late release :) remix come late today ,1
pamer :) ,1
everyone make mistake ok :( ,0
school end early could ngee ann acoustic gig :( ,0
cat forget hate :( ,0
bad pain :( ,0
hiii jack :) ily ✨ ✨ ✨ ,1
try way brain hard-wired always feel like enough :( ,0
i'm amsterdam guy wooo :d ,1
31 bad mam :p ,1
esnho node 15 advanced directx 11 shading workshop p2 uploaded remove :( ,0
rly wanna spend christmas relative yr :( ,0
:) ☕ ☕ ☕ thank rita ,1
sometimes hate :( ,0
#halesowen #blackcountryfair tomorrow follower go come say hello stand high street :-) ,1
i've pre order r b game watch :) ,1
snapchat guy sexyjane 19 #snapchat #kik #horny #bestoftheday #photo #goodmusic #sexual :( ,0
see leg lycra :p ,1
sorry guy new video week :( ,0
nice see emulation bring :) ,1
girl nice wallet boy prada hai .. girl rich .. boy stupid mean bhai ka hai :p #prada #punjabiswillgetit ,1
:) choice food left individual ,1
good morning igers :) #leicaq #leica #goodmorning ,1
use pry pv ... wish could relive day become nyc pv buy way communicate nyc usa klm :( ,0
:( i'm help :( ,0
happy birthday nawazuddin siddique ... big big fan :) ,1
wish could give really cant :( ,0
u say th remedy ov pak prob z raiz th voice n nvr gv up.wt wt hz imran achieve short thr z soln ov pak prob :( ,0
aint wrong buddy :) ,1
oh actually make sad lol :( ,0
can't believe still saw lot trash thrown irresponsibly pakighinabi session :( ,0
mtaani tunaita pussy viazi choma still get laid :-( ,0
emon ,1
fake texted :( ,0
cant find book keep sane :( ,0
fun besok .. :) ,1
cute boy jules :-) ,1
would say :-) ,1
#fridaydownpour hope clear wkend good one :) ,1
we've receive payment order process :) thanks shop spree ,1
wish go vidcon :( ,0
get pace maker oh :( ,0
hi .. jarraaaaa want get free iphone 6 hurry check bi0 thx :) ,1
hi would like concert let know city country i'll start work thanks :) ,1
nothing bore can't sleep :-( wbu ,0
kind word never go unappreciated even mention site :) gracious thank feedback ,1
sketchbook art love 4wilde drawing hair turn pretty cool :d #art #hair #colors #colorpencils #cray … ,1
visit blog thanks :d ,1
एक ब ा र फ ि र स े ँ ध ो ख ा ... >:( — feel silly chandauli majhwar railway station ,0
want wingstop :-( ,0
lol really unlike :( ,0
jmu camp tease bc wanna :( ,0
11:11 boyfriend :( ,0
feel like i'm go throw :( ,0
know :) ,1
definately agree grow sport drop email detail see :-) ,1
ice cream van busy bristol :( ,0
✫ ✧ ˚ ✧ · ✵ ⊹ thank always put smile face mind follow :) nice day x 1707 ,1
please god wanna go work :( ,0
justinbieber u pls follow daianerufato i've try long :( ilysm baby xx july 24 2015 07:17 ,0
enjoy cute baby panda :) ,1
fuuuuuuuuuck jesus >:( ,0
thanks worry i'll navigate blog check :) ,1
ps nys opt-outed due cc vam unfair testing speced ells article completely miss :( ,0
thank :) ,1
:( that's sad ... maybe mistake they'd feel different pet ,0
im bein serious sad ... lol go tla tweng ive get shit gene :( ,0
appreciate glad friends :) ,1
snapchat tammirossm #snapchat #kikgirl #kikchat #wet #wife #indiemusic #sexy :( ,0
oh :( lol xd ,0
sel beth come serbia serbian selenators motavators sad :( 💋 ❤ 💋 ❤ ,0
bet well get sleep 9pm shift 9am quit hard work thank :) xx ,1
lloyds r asshole clearly one anything n wait till tuesday :( ,0
miss day :( #toothsensitivity ,0
there's meeting sunday genesis back mexico yet :( ,0
happy birthday nice day :) #loveu ,1
thank :) ,1
i'll hawaii december we'll kick back miss :) ,1
waiting love recuerda tanto bath :( ,0
hope debut success :) ,1
:( crepes 40 — ,0
good morning sharon really hope good today medicine work thank :) ttyl x ,1
miss :( ,0
ice cream ifsc mayor street :( ,0
use flexible :( ,0
apparently shower friday subway one kind enough tell cool guy :( ,0
problem trace many people claim artist work :( ,0
friend asleep :( :( :( ,0
reply please antagal :( ,0
listening back old show know i'm weird get u leave might give pale imitation :-( ,0
wtf like lips still virgin omg mom get life youre 45 hahah ,0
yok lah .. see :p ,1
luv ur avi :) ,1
omg can't wait miss everyone wooohooo :) ,1
aw babe :( ,0
im get ollys tweet notification :( ,0
yes big yes finally get home severe rain thanks :) ,1
stats week arrive 1 new follower unfollowers :) via ,1
bps snap :) ,1
wish :( :( please get sign xxx ,0
oh yeah definitely go try tonight :) take advice treviso ,1
0 sleep officially way paris cannot wait :) #paris #tdf2015 🇫 🇷 🍷 🍸 ☀ ️ 🇫 🇷 🚲 🇫 🇷 🍷 🍸 ☀ ️ 🚲 ,1
fabulous well hope great day :-) kb ,1
smile enjoy time :) ,1
followed thanks please followed :( ,0
yes work :) ,1
sense awe :) via ,1
kian love kian love youuuuuu :( can't get today omg ,0
lovely guy :-) ... look like james bond ,1
oh goodness make sad :( #finddjderek ,0
carefully ... :) ,1
love :( ,0
grandad really well :( worry much ,0
yes baby kaya i'm sorry :( ,0
nickyyyyyyyyyyyyyyyy wtf ¿ :( ,0
wish cut hair like :( ,0
dont say might steel otamendi :( ,0
town's sister town :d ,1
tomorrow please :-( ,0
good afternoon :) ,1
walao kbs never show encore :( ,0
hopefully get see bff tomorrow :( ,0
id conflict thanks help :d here's screenshot work ,1
come back :( ,0
oh god know :( ,0
ready #ges2015kenya :-) ,1
nooo break soo amazing togheter :( ,0
where's denise miss :( ,0
porsche paddock #budapestgp find #johnyherbert roll us weekend :) #porschesupercup ,1
taylor crop :( ,0
follow back :( ,0
im hoping :( ,0
galing ni founder ♥ loveyaaaah ⅛ :) ⅞ ∞ ,1
really code monkey :( ,0
yes amazing keep go strong strong person know proud :) ,1
omg can't tell say :p can't wait know ❤ ️ ,1
hungry hungry hungry :( mom's home oh god im die ,0
thanks tweet :) ,1
snapchat lisaherring 19 #snapchat #kikme #kikmeboys #woman #ebony #weloveyounamjoon #sexi :( ,0
owner user ,1
sorry :-( hope get good ,0
lol come join us ... see u around 14 hour u leave without delay :) ,1
follow follow u back :) ,1
agree sarah phone really busy time give option :) c ,1
controversy :( ,0
maybe wrong say please love 3 :( ,0
read #sandrabland story thats scary hope truth reveal :( ,0
dj derek trend horrible reason :( hope he's find safe well ,0
😪 😪 😪 tired si wait yu na hz :( ,0
beware agonising think experiment ahead :( ,0
weird dp know :p ,1
burnt toffee :( ,0
short talk last day beach :( via ,0
miss netball :( ,0
hey go home na :( ,0
apology encanta vale osea bea :-( ,0
spazzing everything soobin dance :( ,0
mood whole day :-( ,0
one thank ft fandom side :) ,1
blue one still look light :( ,0
yummmyyy ... :-) — eat dosa ,1
miss sooo muchhh :( ,0
can't post message :( ,0
make sure always tissue chocolate tea every #hannibal episode :) work way :) ,1
wish go taylor swift :( ,0
snapchat guy ivypowel 19 #snapchat #kik #chat #xxx #kikmeboys #newmusic #sexchat :) ,1
anyone wanna friend i'm lonely girl england bore hell throughout summer holiday .. :( ,0
good eve :( ,0
good luck london weekend super result great support donetsk :) ;) ;) ,1
woah big plan good luck :) ,1
i'm tire :( get good sleep ,0
would ever consider create crash course video computer science many resource school :( ,0
hate break :( ,0
corbyn must understand labour's new member change party's fortune yet another rant woman :( ,0
#motn though lighting make-up justice :( ,0
sorry minkyuk i'm slow af ,0
10 loner side please :) ,1
that's ok :) laiten that's interesting would able tell us card look like ... ,1
photoset katmtan swan queen fandom :) sorry others blurry far away ... ,1
know right ... :( hope worth bc really wanna see hugh wolverine <3 ,0
oh shoot well watch :d ,1
ikr :( lol ,0
easier say :( ,0
give time fam get thing mind :-) ,1
guess who's spent half hr sit outside apt building bc leave key work hope someone need leave bldg soon :( ,0
productive day far :) happy days ... :) :) head spin thing voice keep call .. lol 󾌴 ,1
oh masa :-) get btw entrepreneurship empower ,1
pake :) ,1
rain :( ,0
good morning fab friday :) ,1
ufffff sr dard :( — drink green tea ,0
keep bad dream corey :-( ,0
tud jst :d ,1
happy belated birthday cikaaa ☺ wish best :) maaf telat ngucapinnya :d ,1
great :) ,1
weather app say rain tonight tomorrow :( sit car watch footy ,0
i'm tan :-( ,0
thank :) ,1
weather awful today mean stick :( ,0
thats push emoji give sony five :-( :-( :-( :-( :-( :-( ,0
:( hug hope rest soon ,0
feel stupid can't seem grasp basic digital painting nothing i've research help :( ,0
okay :( ,0
get google image know bc already close browser :/ sorry :( ,0
step lego barefooted :( ,0
dont really know sorry :( try opening paint save ,0
where's album akon :( ,0
want home i'm eat properly i'm sleep pass time i'm miserable :( ,0
one little 50p cheese pizza grate cheese top well one look little sparse :( ,0
ok ... sering 2 play yah min .. haha :) ,1
✈ ️ 2 day i'm back rainy uk :-( ☔ ️ ,0
damn hopefully deserve one since age since last repack wont mention boy group get repacks always :( ,0
ya gotta like :( crapple agree android ftw #phandroid ,0
tell screw i'm gonna netflix chill u dis ervin :( ,0
awful news mum use birthday cake every year 21st none :( #disappointed ,0
always tell take nap able sleep night like always take nap :-) ,1
haha sounds like ’ fun game :( ,0
happen anymore :( ,0
congratulation :( ,0
tweet much appreciate thank dedicated member :) ,1
finding good conference hotel london tricky small :( ,0
take :( another chara maybe teteh ,0
＠ real_liam_payne please follow :( wait follow back :( please follow back retweet reply :( ,0
thank retweets :) ,1
sadly :( ,0
point :) #marketing #branding ,1
amber liquid continue flow almost game time :-) #melbournetrip2015 #taxikitchen ,1
seeing delph another kit upset :( ,0
okay :( ,0
yeah play pretty girl bus stop :) x ,1
6248108 80khan confidence confined u ur limits ... :) ,1
we're hire maybe public would like job :-) ,1
come fly baby :) #retweet #marine #navy #airforce #battlefield ,1
everyone's holiday :( ,0
good idea free stress speculation ... allow work consistency :) ,1
#ty #followfriday top influencers community week :) ,1
get sting wasp im cry hard tweak keep get big ive never sting one hope im allergic :( ,0
phone really cool thing tell text 5 minute really get text :-) ,1
us :( ,0
slow news day :-( ,0
darn :( ,0
awww thanks hey million :) enjoy weekend hey ,1
actually go :d yayayayay gonna first yt convention <3 ,1
ha ha :-) guess polite ,1
keep eye peel soon christina sign newsletter offer go first :) ,1
#ff wooftastic twoofs hope supa dupa weekend :) ,1
somewhere late :) ,1
yeaaaah yippppy accnt verify rqst succeed get blue tick mark fb profile :) 15 day ,1
“ yes inconsiderate :( ” ,0
i'm hungry :( ,0
friday :) ,1
new #disneyinfinity #starwars character look amazing preorder starter pack store today :d ,1
morning :) ,1
craving mcnuggets :-( ,0
tope :) ,1
#madonnamademtv c'mon ur turn #madonnafamily #madonnafans :) one time let's tweet ,1
hi would like concert let know city country i'll start work thanks :) ,1
gonna okay love :( ,0
want read orhan pamuk hero :) ,1
i've whisper today day four time week i'm still lie bed lay pokemon :) ,1
get 7 outfit music bank messy :( colour could good ,0
smile beautiful :( ,0
time 20 day i'll result kms :( ,0
#buynotanapologyonitunes avalible denmark :( ... could someone please gift im frustrate ,0
i'll add fics tomorrow :d ,1
food poison :( ,0
busy productive day fill tear hour hour laughter today good day :) ,1
anyway :-) ,1
summer style stack pandora ring lady :-) ring favourite ,1
:( ,0
people wish birthday :( ,0
emotional morning saying bye best friend :( read end book 5 hp :( waah #sad ,0
:) good know :) ,1
two week close day redecorate expect something little different ready second birthday :) ,1
want stick inside day :( ,0
i'm active i'm near make account private ... :d ,1
:( ,0
yup soulful goodness :-) guitar soul feature cocoared #soul #soulful ,1
baby :( ,0
cry bc miss mingming much :-( ,0
thanks answer feel frustrated :( try change perspective ,0
finish mass effect 1 yesterday dont know shoud start mass effect 2 100 game :) ,1
wish id put £ 50 real madrid #shithouse :( ,0
party's goodbye stage :( ,0
green garden midnight sun beautiful canal dasvidaniya till next visit :) ,1
#turkey #bombing #isis #syria allow #usa use one #airfields #jets :( ,0
aaron say shit ago say worth take that's bang well jelouse :( ,0
please come netherlands :( ,0
#valencia #weekend enjoy :) ,1
ey get message beth :) x ,1
rod tame embrace inner actor aplomb :-) congratulations mate ,1
#ff follow nc guy :-) ,1
think today pizza day sadly none manager usually buy :( ,0
good night :( ,0
friend love eat ice cream childhood missing day :( #toothsensitivity ,0
good night :-) ,1
almost park rec :( lol ,0
kath :) ,1
i'm fan hair since :( ,0
:( ,0
yeah suppose lol chat bit x :) ,1
arummzz let's go ... i'll drive :p #traveling #traveler #yogyakarta #jeep #indonesia #instamood … ,1
u already :( ,0
cream pinay pie soup :( ,0
:( i'll try catch ,0
easy :( ,0
nobody :) like :) :) ,1
wow hate u :( imy ,0
early work :) ,1
wish help :( ,0
years since zoo fieldtrips time touch :( ,0
shannon woohoo :) ,1
gn love u see u 2 day :) ,1
sound cool bet float though :( ,0
fra nobody want give ljp 5 hard 1/5 nowdays plea pick :( ,0
hahahaha intention turn away say something turn that's kiss :( ,0
lunch :) ,1
"hit 10,000 play girlfriend remix :) ",1
im sorry im get personal stuff really bother cant stop cry dont anyone talk :( ,0
go zumba somewhere else please study :( ,0
shahid afridi tou young hi hai na abhi talk mahnor baloch never go old :) ,1
mean new nex still safe gwd :d ,1
oh mean mature :) ,1
want finish death parade weekend :( ,0
lovely day yes stay happy :) 😘 ,1
thanks share wishing wicked weekend :) ,1
sorry busy arini je tak busy :( ,0
welcome :) when's next meet ,1
thank :) ,1
thank maybe late sleep :( ,0
yeah try look x :) ,1
get free cornettos can't figure :-( x ,0
reading newspaper :d ,1
mean i'm drunk méxico city :( ,0
hi derek could try use parkshare gloucestershire :) ,1
please pick u want make happy bc today i'm sick :( ,0
yes pls far need :( ,0
people unfaved rted :( ,0
reading beautiful like read :) ,1
skype account order think hack contact i'm sorry :( i'm create new one soon ,0
waduh .. pant :( ,0
betcha :) dumb butt :) ,1
:( ,0
whatever stil l young >:-( ,0
“ bet wonder happen :( ” try calm start 🙏 🏻 🎂 ,0
hierro :( ,0
sleep last night n help wake 8 morning n phone even charge :( ,0
tbh busy wth concert schedule :( aisyhhh ,0
valentine et al 2009 find relationship homo biphobic comment certain discipline incl european language lit education :( ,0
things hard right can't even home mady help :( ,0
live countdown v app i'm still confuse function watch desktop :( ,0
i'm motherfucking happy that's matter :-) ,1
snapchat amargolonnard #snapchat #snapchat #kikhorny #snapme #tagsforlikes #batalladelosgallos #webcamsex :( ,0
difference 15 :( ,0
2 indirag want judiciary commit govt policy want rbi commit know many similar view :) ,1
#ff shoot mon :) ,1
thanks :) ,1
tell u guy bday today :( gift want 5 paypal ,0
moviee buddyyyy :( ,0
appreciate follow :) hear botanical soap :) ,1
#forklift #warehouse worker get #fridayfeeling :-) ,1
morning mine 1100d usually auto-focus use manual really close like shoot vein crackle glaze :) ,1
... ´ attack criticise every gesture word pedal stroke one must attentive notice little thing :) ,1
whatsapp roommate want anything paris french man :) lol sure i'll head park grab one ,1
noo toni deactivate :( ,0
jds laro tayo :) tag answer us ht :) angelica anghel #otwolgrandtrailer aa ,1
take room car i'm go cool :) ,1
far would go win camara know :-( bride wore coveralls #romance #inspy ,0
jk lot people chat ha :-) ,1
go wednesday :( ,0
happy tripping farbridges :-) ,1
there's nothing cool totally someone bitterness anger hatred towards pure indifference :) ,1
choreographing hard ,0
:) ,1
#bad4thwin guy omg :( ,0
followed thanks please followed :( ,0
looking fun kik agover 73 #kik #kikgirl #hornykik #makeup #orgasm #brasileirao #sexdate :( ,0
must make visit north west long session miss kitty 3 year plus :( ,0
youre get famous :( ,0
insha'allah .. wil .. :) ,1
can't anymore can't stress body yet life base upon stress can't :( ,0
thanks iceland amaze crazy landscape hope get soon :) ,1
good go andre keep :) ,1
can't finish sanum today :( #llaollao #dessert full ,0
hi hope great time full happiness :) love ... 777x ,1
music team interactive dept :( ,0
smile sunnah :) #غردلي #عن ,1
shoulda move away w boy chance cause they're people want time like :( ,0
dare run corridor :-) ,1
3 ghantay say light nai hay :( ,0
yea want cozy warm bed back x thx dear may work day chill short :) ,1
part elite group :) ,1
end would leave work therefore miss :( ,0
long time see :/ :p ,1
love :) ,1
thanks rts rose much appreciate :) ,1
tweetin early morning :( sad mood day :( ,0
oh ben :-( terrible please provide us name branch visit would like address concern ,0
good idea share excellent book title would without keep good work :) ,1
gooood morninggggg jummah mubarak everyone bless amazing day ahead :) ,1
boo already turn yes 915 :( ,0
make highlight :-( seem stop talk climb pure courage bit fishy ,0
omg :d #tweetofthedecade :p ,1
im thankful someone like life inspire good everyday love mind follow :) ,1
sure thing :) share suggestion concerned team sure get back pretty soon ,1
glad see work hard im grateful compensation honestly play game free good enough :) ,1
someone please gift #notanapology :( ,0
awww really miss rhd celebration :( ,0
yup thank huhu mahirap :( ,0
talk :( ,0
naw i'm really scar go think i'm crazy i'm gonna able sleep tonight :( ,0
yeah they're give subtle hint also tip 2 use community last year :-) prim ’ algorithm iii ,1
that's like hear lots bubble please :-) #quacketyquack ,1
tf can't find subtitle oitnb need understand changs backstory :( ,0
🌞 🌞 🌞 :) stay perfect girly ,1
well mean ur vinny know :) u dont money hahahahaha 50cents repay ur debt ,1
oh bed haha can't sleep though day exciting :) ,1
great regret get sign copy #deathofgrass john add thanks loan lawnmower :-) ,1
take ice creamist pleaseeeee :( ,0
morning kim sorry hear shed light issue look :) helen ,1
re-signed :) ,1
tomorrow lmao hehe :d ,1
need lush bathtub ... :( ,0
mommy leave :( ,0
scary dream can't go back sleep :-( ,0
get us tune well app multiple option :d ,1
want get pay already :( ,0
baby :( ,0
lol woman want share greek god body :) ,1
that's spirit :) #wsalelove ,1
that's good :-) ,1
hate see granddad like :( ,0
cpm condemn rest political party quiet :( ,0
buy something drink cause nothing :( ,0
yeah guy b mean rapist feeling :( :( :( :( like commit crime anything ,0
favorite apple sauce :) ,1
hehe :-) smiling ear ear :-d ,1
amen thanks :) ,1
followed thanks please followed :( ,0
great day hunny :) ,1
we're always want talk :) 😊 ,1
baby :( ,0
national bird wayanadan forest .. :) #wayanad photo srijith v visit website ,1
stats day arrive 2 new follower unfollowers :) via ,1
like u :) ,1
im tempt stream screenshot sjkaos :( ,0
:( ,0
weird :( ,0
i've beer talk i'd say 2 broken arm issue 1 testicle light :) ,1
lucky u dont ramadhan holiday eid that's week :( need ,0
huhu shet :) huhu leave desk get back saw tweet o_o orz ,1
whaaaaaaaaaat :( :( :( leave ,0
air max tavas pls pls pls pls :( ,0
yeah ’ appear work want free cornetto :( strawberry one ’ fake cornetto ,0
try stay possitve hun :) sending hug :) hopeyou ok sweetie xxxx ,1
working home normally mean surf case :( ,0
want pretzel :( #bb17 #bblf ,0
make little chibi maker :p ,1
everyone talk rat boy today bc :( ,0
want want want follow want want want that's crazy :( please love (: ♡ ♡ ,0
:( exit gomen ,0
ate menille need youuuu :( ,0
much fun really enjoy hope next contest come soon :-) :-) :-) ,1
go awesome thanks :) amazing audience hopefully see soon buddy ,1
haha feel maybe that's :d ,1
given kepler 452b distance propose far away suitable name perhaps fan comment suggest alternative :-) ,1
belated happy bday sauce :) ,1
feel ill today :( ,0
colin ps4 die :( find playstation support without charge money call help much appreciate ,0
today's weather sum feel go work :( #tgif ,0
debatable :) ,1
need life :) ,1
someone take see inside please :( ,0
good weekend :-) ,1
please :( ,0
that's fair enough :) rush back either ,1
mission bear fail :( ,0
♛ ♛ ♛ 》 》 》 love much beli̇eve wi̇ll follow please follow please justi̇n :( x15 342 》 》 》 ｓｅｅ ｍｅ ♛ ♛ ♛ ,0
last time one work :( fb go check long time lol ,0
thank's follow kevens :) ,1
ohaha problem thank btw :) ,1
look like great fun :) ,1
fback :) ,1
dear plz post creation public without permission amtired tell every 1 :( ,0
ah hello back larry :) ,1
really hot :-( ,0
scurri agile #shipping solution available market book free demo :-) #retail #delivery #sme ,1
join #frequentflyer program :) ,1
find :) — know haha ,1
event :) #kfckitchentours ,1
ghost #bae :d #love #wuppertal #tagsforlikesapp #instagood #me #smile #follow #cute #photooftheday … ,1
one leg september perhaps bb promote full album september :d ,1
snapchat tammirossm #snapchat #kikgirl #kikchat #wet #wife #indiemusic #sexy :( ,0
typo ye :( ,0
love warrior :-( ,0
goood hot tan line ugly im go home tonight :( ,0
congrats launch :d ,1
miss kid can't believe i'm adult stuff like pay rent bill degree shit like fuck :( ,0
oops see panty :) ,1
thank :) tricky bt v important subject ,1
#kianweareproud proud :) love much 💜 ,1
envy people get meet picture laura taylor lana etc they're lucky meet baby :( ,0
